TREEID,OBJECTID,ONSTREET,PARITY,CROSSSTREE,CROSSSTR_1,Location plain text,y,x,TREELOCATI,SITE,TREEPIT,TREECONDIT,DIAMETER,SPECIES,BOROUGH,ZIPCODE,FID_1,COMMDIST
11934,2590,BUSHWICK AVENUE,odd,SCHOLES STREET,MESEROLE STREET,"204 BUSHWICK AVENUE, Brooklyn, NY",-73.9405584, 40.709957,2,4,1,2,4,GYDI,Brooklyn,11206,28,301
11937,2591,BUSHWICK AVENUE,odd,SCHOLES STREET,MESEROLE STREET,"206 BUSHWICK AVENUE, Brooklyn, NY",-73.940199, 40.708882,1,4,1,1,4,GYDI,Brooklyn,11206,28,301
11935,2592,BUSHWICK AVENUE,odd,SCHOLES STREET,MESEROLE STREET,"204 BUSHWICK AVENUE, Brooklyn, NY",-73.9402415686, 40.7086881,3,4,1,2,5,GYDI,Brooklyn,11206,28,301
11939,2593,BUSHWICK AVENUE,odd,SCHOLES STREET,MESEROLE STREET,"213 MESEROLE STREET, Brooklyn, NY",-73.940199, 40.708882,1,2,1,2,3,GYDI,Brooklyn,11206,28,301
11941,2600,BUSHWICK AVENUE,odd,SCHOLES STREET,MESEROLE STREET,"213 MESEROLE STREET, Brooklyn, NY",-73.9401564, 40.7084617,2,2,1,2,3,GYDI,Brooklyn,11206,28,301
11961,2607,MESEROLE STREET,even,BUSHWICK AVENUE,BUSHWICK PLACE,"232 MESEROLE STREET, Brooklyn, NY",-73.9401564, 40.7084617,2,1,1,2,3,GYDI,Brooklyn,11206,28,301
11959,2608,MESEROLE STREET,even,BUSHWICK AVENUE,BUSHWICK PLACE,"232 MESEROLE STREET, Brooklyn, NY",-73.9396294, 40.7083334,1,1,1,1,4,GYDI,Brooklyn,11206,28,301
11965,2609,MESEROLE STREET,odd,BUSHWICK AVENUE,BUSHWICK PLACE,"232 MESEROLE STREET, Brooklyn, NY",-73.9396294, 40.7083334,1,4,1,2,4,PRVISH,Brooklyn,11206,28,301
11973,2610,MESEROLE STREET,odd,BUSHWICK AVENUE,BUSHWICK PLACE,"232 MESEROLE STREET, Brooklyn, NY",-73.9396294, 40.7083334,3,4,1,2,3,PRVISH,Brooklyn,11206,28,301
11994,2611,MESEROLE STREET,odd,BUSHWICK PLACE,WATERBURY STREET,"258 MESEROLE STREET, Brooklyn, NY",-73.9386328, 40.7084195,1,4,1,3,2,PRVISH,Brooklyn,11206,28,301
12018,2612,MESEROLE STREET,even,BUSHWICK PLACE,WATERBURY STREET,"264 MESEROLE STREET, Brooklyn, NY",-73.9396294, 40.7083334,1,1,1,3,3,QURU,Brooklyn,11206,28,301
12080,2613,MORGAN AVENUE,even,MEADOW STREET,TEN EYCK STREET,"209 MORGAN AVENUE, Brooklyn, NY",-73.9380365, 40.7084767,1,4,1,1,9,GLTR,Brooklyn,11237,28,301
12082,2614,MORGAN AVENUE,even,MEADOW STREET,TEN EYCK STREET,"209 MORGAN AVENUE, Brooklyn, NY",-73.9341909, 40.7116995,3,4,1,2,6,UNK,Brooklyn,11237,28,301
12085,2615,MORGAN AVENUE,even,TEN EYCK STREET,MAUJER STREET,"222 MORGAN AVENUE, Brooklyn, NY",-73.9341909, 40.7116995,2,1,1,2,6,GIBI,Brooklyn,11237,28,301
11969,2616,MESEROLE STREET,odd,BUSHWICK AVENUE,BUSHWICK PLACE,"232 MESEROLE STREET, Brooklyn, NY",-73.934005, 40.71182625,2,4,1,2,4,PRVISH,Brooklyn,11206,28,301
11976,2617,MESEROLE STREET,odd,BUSHWICK AVENUE,BUSHWICK PLACE,"240 MESEROLE STREET, Brooklyn, NY",-73.9396294, 40.7083334,1,4,1,2,6,TITO,Brooklyn,11206,28,301
12003,2618,MESEROLE STREET,odd,BUSHWICK PLACE,WATERBURY STREET,"258 MESEROLE STREET, Brooklyn, NY",-73.9391787441, 40.708294,2,4,1,4,3,PRVISH,Brooklyn,11206,28,301
12028,2619,MESEROLE STREET,even,BUSHWICK PLACE,WATERBURY STREET,"264 MESEROLE STREET, Brooklyn, NY",-73.9380365, 40.7084767,2,1,1,3,3,QURU,Brooklyn,11206,28,301
12081,2620,MORGAN AVENUE,even,MEADOW STREET,TEN EYCK STREET,"209 MORGAN AVENUE, Brooklyn, NY",-73.9386328, 40.7084195,2,4,1,2,5,GIBI,Brooklyn,11237,28,301
12083,2621,MORGAN AVENUE,even,TEN EYCK STREET,MAUJER STREET,"222 MORGAN AVENUE, Brooklyn, NY",-73.9341909, 40.7116995,1,1,1,1,12,GLTR,Brooklyn,11237,28,301
12086,2622,MORGAN AVENUE,even,TEN EYCK STREET,MAUJER STREET,"222 MORGAN AVENUE, Brooklyn, NY",-73.934005, 40.71182625,3,1,1,1,10,GLTR,Brooklyn,11237,28,301
12093,2623,MORGAN AVENUE,odd,MEADOW STREET,TEN EYCK STREET,"209 MORGAN AVENUE, Brooklyn, NY",-73.934005, 40.71182625,2,1,1,2,6,GIBI,Brooklyn,11237,28,301
12091,2624,MORGAN AVENUE,odd,MEADOW STREET,TEN EYCK STREET,"209 MORGAN AVENUE, Brooklyn, NY",-73.9341909, 40.7116995,1,1,1,1,10,GLTR,Brooklyn,11237,28,301
23393,4943,FRANKLIN STREET,even,NORTH   15 STREET,MESEROLE AVENUE,"12 FRANKLIN STREET, Brooklyn, NY",-73.9341909, 40.7116995,1,1,1,2,5,AIAL,Brooklyn,11222,28,301
23396,4948,GEM STREET,odd,NORTH   15 STREET,MESEROLE AVENUE,"37 GEM STREET, Brooklyn, NY",-73.9568729, 40.7253574,2,1,1,3,3,ACPLCR,Brooklyn,11222,28,301
23398,4949,NORTH   15 STREET,even,FRANKLIN STREET,GEM STREET,"22 NORTH   15 STREET, Brooklyn, NY",-73.9568729, 40.7253574,2,1,1,4,2,0,Brooklyn,11222,28,301
23395,4952,GEM STREET,odd,NORTH   15 STREET,MESEROLE AVENUE,"37 GEM STREET, Brooklyn, NY",-73.9573743, 40.7253981,1,1,1,2,2,ACPLCR,Brooklyn,11222,28,301
19688,4190,DEAN STREET,even,3 AVENUE,NEVINS STREET,"88 3 AVENUE, Brooklyn, NY",-73.8999599, 40.614211,1,2,1,1,6,TICO,Brooklyn,11217,29,302
19719,4191,DEAN STREET,even,3 AVENUE,NEVINS STREET,"88 3 AVENUE, Brooklyn, NY",-73.8999599, 40.614211,3,2,1,1,6,TICO,Brooklyn,11217,29,302
